group	phase	cost_usd_total	timestamp
SMOKE	before	0.000000	2026-09-09T07:33:25+08:00
SMOKE	after	0.000000	2026-09-09T07:37:54+08:00
C	before	0.000000	2026-09-09T07:43:40+08:00
C	before	0.000000	2026-09-09T07:54:33+08:00
C	after	0.000000	2026-09-09T07:55:23+08:00
D	before	0.000000	2026-09-09T07:55:23+08:00
D	after	0.000000	2026-09-09T07:59:04+08:00
A	before	0.000000	2026-09-09T07:59:25+08:00
A	after	0.000000	2026-09-09T08:06:27+08:00
B	before	0.000000	2026-09-09T08:06:27+08:00
B	after	0.000000	2026-09-09T08:06:57+08:00
